id,code_prc,nom_article,direction,annee_mois,stofcy,iptdat,lot,pcu,qtypcu,stu,qtystu,sta,loc,slo,sernum,befsto,serfin,aftsto,qlyctldem,trstyp,mvtdes,pjt,dludat,newltidat,bprnum,vcrtyptxt,vcrnum,vcrlin,vcrtyporit,vcrnumori,vcrlinori,bpslot,shldat,actqty,pot,owner,pcuori,betcpy,pcustuori,acccur,amtord,amtval,varord,varval,priord,prival,prinat,amtdev,trsfam,numvcr,gte,creusr,credat,cretim,cce1,palnum,ctrnum,created_at
1,PRC00000999,Moteur Monte rideaux,sortie,2025-12,AZB,12/12/2025,,UN,-1,UN,-1,A,MMPA01A,,,1,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20255045428,1000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-533,59","-533,59","-533,59","-533,59","533,599","533,599",Prix moyen pondéré,0,SDV,,,IBMA,12/12/2025,1553,2207,,,2026-05-21 21:37:26
2,PRC00000999,Moteur Monte rideaux,entree,2025-11,AZB,06/11/2025,,UN,1,UN,1,Q,MAG01A,,,0,,1,QUA-AZB251101288,Réception fournisseur,,,31/12/2999,31/12/2999,FL689,Réception,RCT2554457,1000,Commande achat,BC2590299,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,"533,59","533,59","533,59","533,59","533,599","533,599",Prix ordre,0,,,,WATO,06/11/2025,1255,,,,2026-05-21 21:37:26
3,PRC00001041,Roue D'appui Gerbeur,sortie,2025-10,AZB,29/10/2025,,UN,-2,UN,-2,A,MMPA01A,,,2,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20254445306,1000,,,0,,31/12/2999,-2,0,AZB,UN,Non,1,TND,-772,-772,-772,-772,386,386,Prix moyen pondéré,0,SDV,,,IBMA,29/10/2025,625,2504,,,2026-05-21 21:37:26
4,PRC00001041,Roue D'appui Gerbeur,entree,2025-10,AZB,27/10/2025,,UN,1,UN,1,Q,MAG01A,,,1,,2,QUA-AZB251006528,Réception fournisseur,,,31/12/2999,31/12/2999,FL068,Réception,RCT2554129,1000,Commande achat,BC2588260,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,386,386,386,386,386,386,Prix ordre,0,,,,WATO,27/10/2025,1559,,,,2026-05-21 21:37:26
5,PRC00001041,Roue D'appui Gerbeur,entree,2025-10,AZB,27/10/2025,,UN,1,UN,1,Q,MAG01A,,,0,,1,QUA-AZB251006427,Réception fournisseur,,,31/12/2999,31/12/2999,FL068,Réception,RCT2554110,1000,Commande achat,BC2588260,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,386,386,386,386,386,386,Prix ordre,0,,,,WATO,27/10/2025,939,,,,2026-05-21 21:37:26
6,PRC00001041,Roue D'appui Gerbeur,sortie,2025-04,AZB,04/04/2025,,UN,-1,UN,-1,A,MMPA01A,,,1,,0,,Sortie diverse,56840,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251444908,41000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-367,2","-367,2","-367,2","-367,2","367,2","367,2",Prix moyen pondéré,0,SDV,,,MOAY,04/04/2025,1428,2307,,,2026-05-21 21:37:26
7,PRC00001122,Interrupteur Electronique Gerb,sortie,2025-12,AZB,23/12/2025,,UN,-1,UN,-1,A,CM1A01C,,,1,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20255245461,4000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-74,86","-74,86","-74,86","-74,86","74,865","74,865",Prix moyen pondéré,0,SDV,,,IBMA,23/12/2025,1137,1511,,,2026-05-21 21:37:26
8,PRC00001220,Huile Compressor 20L,sortie,2026-03,AZB,31/03/2026,,UN,-2,UN,-2,A,CHR001E02,,,2,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20261445672,1000,,,0,,31/12/2999,-2,0,AZB,UN,Non,1,TND,-1440,-1440,-1440,-1440,720,720,Prix moyen pondéré,0,SDV,,,IBMA,31/03/2026,1425,1511,,,2026-05-21 21:37:26
9,PRC00001220,Huile Compressor 20L,entree,2026-03,AZB,26/03/2026,,UN,1,UN,1,Q,CHR001E01,,,1,,2,QUA-AZB260304645,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2600439,4000,Commande achat,BC2691389,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,720,720,720,720,720,720,Prix ordre,0,,,,WATO,26/03/2026,1431,,,,2026-05-21 21:37:26
10,PRC00001220,Huile Compressor 20L,entree,2026-03,AZB,26/03/2026,,UN,1,UN,1,Q,CHR001E02,,,0,,1,QUA-AZB260304645,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2600439,1000,Commande achat,BC2691821,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,720,720,720,720,720,720,Prix ordre,0,,,,WATO,26/03/2026,1212,,,,2026-05-21 21:37:26
11,PRC00001220,Huile Compressor 20L,sortie,2025-12,AZB,25/12/2025,,UN,-1,UN,-1,A,CHR001E02,,,1,,0,,Sortie diverse,61423,,31/12/2999,31/12/2999,,Sortie diverse,SOM20255245470,3000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,-700,-700,-700,-700,700,700,Prix moyen pondéré,0,SDV,,,MOAY,25/12/2025,906,2206,,,2026-05-21 21:37:26
12,PRC00001220,Huile Compressor 20L,entree,2025-11,AZB,28/11/2025,,UN,1,UN,1,Q,CHR001E02,,,0,,1,QUA-AZB251106610,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2555219,1000,Commande achat,BC2590722,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,700,700,700,700,700,700,Prix ordre,0,,,,WATO,28/11/2025,1450,,,,2026-05-21 21:37:26
13,PRC00001220,Huile Compressor 20L,sortie,2025-11,AZB,06/11/2025,,UN,-1,UN,-1,A,CHR001E03,,,1,,0,,Sortie diverse,58655,,31/12/2999,31/12/2999,,Sortie diverse,SOM20254545335,40000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-693,33","-693,33","-693,33","-693,33","693,33333","693,33333",Prix moyen pondéré,0,SDV,,,MOAY,07/11/2025,953,2214,,,2026-05-21 21:37:26
14,PRC00001220,Huile Compressor 20L,sortie,2025-11,AZB,06/11/2025,,UN,-1,UN,-1,A,CHR001E02,,,2,,1,,Sortie diverse,58655,,31/12/2999,31/12/2999,,Sortie diverse,SOM20254545335,40000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-693,33","-693,33","-693,33","-693,33","693,33333","693,33333",Prix moyen pondéré,0,SDV,,,MOAY,07/11/2025,953,2214,,,2026-05-21 21:37:26
15,PRC00001220,Huile Compressor 20L,sortie,2025-11,AZB,06/11/2025,,UN,-1,UN,-1,A,CHR001E01,,,3,,2,,Sortie diverse,58655,,31/12/2999,31/12/2999,,Sortie diverse,SOM20254545335,40000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-693,33","-693,33","-693,33","-693,33","693,33333","693,33333",Prix moyen pondéré,0,SDV,,,MOAY,07/11/2025,953,2214,,,2026-05-21 21:37:26
16,PRC00001220,Huile Compressor 20L,entree,2025-11,AZB,06/11/2025,,UN,1,UN,1,Q,CHR001E03,,,2,,3,QUA-AZB251101270,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2554451,1000,Commande achat,BC2589757,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,700,700,700,700,700,700,Prix ordre,0,,,,WATO,06/11/2025,1117,,,,2026-05-21 21:37:26
17,PRC00001220,Huile Compressor 20L,entree,2025-10,AZB,15/10/2025,,UN,1,UN,1,Q,CHR001E01,,,1,,2,QUA-AZB251003295,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2553770,1000,Commande achat,BC2590061,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,700,700,700,700,700,700,Prix ordre,0,,,,WATO,15/10/2025,1356,,,,2026-05-21 21:37:26
18,PRC00001220,Huile Compressor 20L,entree,2025-09,AZB,02/09/2025,,UN,1,UN,1,Q,CHR001E02,,,0,,1,QUA-AZB250900291,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2552409,3000,Commande achat,BC2589173,2000,,31/12/2999,1,0,AZB,UN,Non,1,TND,680,680,680,680,680,680,Prix ordre,0,,,,WATO,02/09/2025,1554,,,,2026-05-21 21:37:26
19,PRC00001220,Huile Compressor 20L,sortie,2025-06,AZB,11/06/2025,,UN,-1,UN,-1,A,CHR001E01,,,1,,0,,Sortie diverse,54026,,31/12/2999,31/12/2999,,Sortie diverse,SOM20252444967,35000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,-680,-680,-680,-680,680,680,Prix moyen pondéré,0,SDV,,,MOAY,11/06/2025,1005,2214,,,2026-05-21 21:37:26
20,PRC00001220,Huile Compressor 20L,entree,2025-06,AZB,04/06/2025,,UN,1,UN,1,Q,CHR001E01,,,0,,1,QUA-AZB250600774,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2549591,1000,Commande achat,BC2588429,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,680,680,680,680,680,680,Prix ordre,0,,,,WATO,04/06/2025,945,,,,2026-05-21 21:37:26
21,PRC00001220,Huile Compressor 20L,sortie,2025-04,AZB,15/04/2025,,UN,-3,UN,-3,A,CHR001E01,,,3,,0,,Sortie diverse,56896,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251644918,38000,,,0,,31/12/2999,-3,0,AZB,UN,Non,1,TND,-1130,-1130,-1130,-1130,"376,66666","376,66666",Prix moyen pondéré,0,SDV,,,MOAY,15/04/2025,1517,2209,,,2026-05-21 21:37:26
22,PRC00001220,Huile Compressor 20L,entree,2025-04,AZB,15/04/2025,,UN,2,UN,2,Q,CHR001E01,,,1,,3,QUA-AZB250403030,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2547975,2000,Commande achat,BC2587678,2000,,31/12/2999,2,0,AZB,UN,Non,1,TND,450,450,450,450,225,225,Prix ordre,0,,,,WATO,15/04/2025,1457,,,,2026-05-21 21:37:26
23,PRC00001220,Huile Compressor 20L,entree,2025-04,AZB,15/04/2025,,UN,1,UN,1,Q,CHR001E01,,,0,,1,QUA-AZB250403030,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2547975,1000,Commande achat,BC2587678,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,680,680,680,680,680,680,Prix ordre,0,,,,WATO,15/04/2025,1457,,,,2026-05-21 21:37:26
24,PRC00001220,Huile Compressor 20L,sortie,2025-03,AZB,07/03/2025,,UN,-1,UN,-1,A,CHR001E01,,,1,,0,,Sortie diverse,56377,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251044890,30000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,-680,-680,-680,-680,680,680,Prix moyen pondéré,0,SDV,,,MOAY,07/03/2025,1352,1511,,,2026-05-21 21:37:26
25,PRC00001220,Huile Compressor 20L,entree,2025-02,AZB,17/02/2025,,UN,1,UN,1,Q,CHR001E01,,,0,,1,QUA-AZB250203464,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2546029,1000,Commande achat,BC2587167,1000,,31/12/2999,1,0,AZB,UN,Non,1,TND,680,680,680,680,680,680,Prix ordre,0,,,,WATO,17/02/2025,1114,,,,2026-05-21 21:37:26
26,PRC00001958,Purgeur temporisé,sortie,2026-02,AZB,20/02/2026,,UN,-1,UN,-1,A,CHR001E02,,,5,,4,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20260845593,2000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-353,4","-353,4","-353,4","-353,4","353,408","353,408",Prix moyen pondéré,0,SDV,,,IBMA,20/02/2026,832,2207,,,2026-05-21 21:37:26
27,PRC00001958,Purgeur temporisé,entree,2026-01,AZB,29/01/2026,,UN,3,UN,3,Q,CHR001E02,,,2,,5,QUA-AZB260103952,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2656702,1000,Commande achat,BC2691389,3000,,31/12/2999,3,0,AZB,UN,Non,1,TND,"1082,4","1082,4","1082,4","1082,4","360,8","360,8",Prix ordre,0,,,,WATO,29/01/2026,905,,,,2026-05-21 21:37:26
28,PRC00001958,Purgeur temporisé,entree,2025-10,AZB,15/10/2025,,UN,2,UN,2,Q,CHR001E01,,,0,,2,QUA-AZB251003296,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2553770,4000,Commande achat,BC2590061,4000,,31/12/2999,2,0,AZB,UN,Non,1,TND,"684,64","684,64","684,64","684,64","342,32","342,32",Prix ordre,0,,,,WATO,15/10/2025,1356,,,,2026-05-21 21:37:26
29,PRC00001958,Purgeur temporisé,sortie,2025-08,AZB,26/08/2025,,UN,-2,UN,-2,A,CHR001E01,,,2,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20253545121,1000,,,0,,31/12/2999,-2,0,AZB,UN,Non,1,TND,"-684,64","-684,64","-684,64","-684,64","342,32","342,32",Prix moyen pondéré,0,SDV,,,IBMA,26/08/2025,1512,1511,,,2026-05-21 21:37:26
30,PRC00001958,Purgeur temporisé,sortie,2025-03,AZB,07/03/2025,,UN,-1,UN,-1,A,CHR001E01,,,3,,2,,Sortie diverse,56377,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251044890,31000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-342,32","-342,32","-342,32","-342,32","342,32","342,32",Prix moyen pondéré,0,SDV,,,MOAY,07/03/2025,1352,1511,,,2026-05-21 21:37:26
31,PRC00001958,Purgeur temporisé,entree,2025-02,AZB,17/02/2025,,UN,3,UN,3,Q,CHR001E01,,,0,,3,QUA-AZB250203463,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2546028,2000,Commande achat,BC2587169,5000,,31/12/2999,3,0,AZB,UN,Non,1,TND,"1026,96","1026,96","1026,96","1026,96","342,32","342,32",Prix ordre,0,,,,WATO,17/02/2025,1102,,,,2026-05-21 21:37:26
32,PRC00002510,KIT ENTRETIEN COMPRESSEUR,sortie,2026-03,AZB,31/03/2026,,UN,-1,UN,-1,A,CHR001E02,,,1,,0,,Sortie diverse,,,31/12/2999,31/12/2999,,Sortie diverse,SOM20261445672,2000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,-831,-831,-831,-831,831,831,Prix moyen pondéré,0,SDV,,,IBMA,31/03/2026,1425,1511,,,2026-05-21 21:37:26
33,PRC00002510,KIT ENTRETIEN COMPRESSEUR,entree,2026-03,AZB,26/03/2026,,UN,1,UN,1,Q,CHR001E02,,,0,,1,QUA-AZB260304646,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2600439,2000,Commande achat,BC2691821,2000,,31/12/2999,1,0,AZB,UN,Non,1,TND,831,831,831,831,831,831,Prix ordre,0,,,,WATO,26/03/2026,1212,,,,2026-05-21 21:37:26
34,PRC00002510,KIT ENTRETIEN COMPRESSEUR,sortie,2025-06,AZB,11/06/2025,,UN,-1,UN,-1,A,CHR001E01,,,1,,0,,Sortie diverse,54026,,31/12/2999,31/12/2999,,Sortie diverse,SOM20252444967,36000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,-787,-787,-787,-787,787,787,Prix moyen pondéré,0,SDV,,,MOAY,11/06/2025,1005,2214,,,2026-05-21 21:37:26
35,PRC00002510,KIT ENTRETIEN COMPRESSEUR,entree,2025-06,AZB,04/06/2025,,UN,1,UN,1,Q,CHR001E01,,,0,,1,QUA-AZB250600775,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2549591,2000,Commande achat,BC2588429,2000,,31/12/2999,1,0,AZB,UN,Non,1,TND,787,787,0,0,787,787,Prix ordre,"0,6",,,,HABAM,03/07/2025,0948,,,,2026-05-21 21:37:26
36,PRC00002510,KIT ENTRETIEN COMPRESSEUR,sortie,2025-04,AZB,15/04/2025,,UN,-2,UN,-2,A,CHR001E02,,,2,,0,,Sortie diverse,56896,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251644918,39000,,,0,,31/12/2999,-2,0,AZB,UN,Non,1,TND,"-3339,6","-3339,6","-3339,6","-3339,6","1669,8","1669,8",Prix moyen pondéré,0,SDV,,,MOAY,15/04/2025,1517,2209,,,2026-05-21 21:37:26
37,PRC00002510,KIT ENTRETIEN COMPRESSEUR,entree,2025-04,AZB,15/04/2025,,UN,1,UN,1,Q,CHR001E03,,,1,,2,QUA-AZB250403031,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2547975,4000,Commande achat,BC2587678,4000,,31/12/2999,1,0,AZB,UN,Non,1,TND,"448,8","448,8","448,8","448,8","448,8","448,8",Prix ordre,0,,,,WATO,15/04/2025,1457,,,,2026-05-21 21:37:26
38,PRC00002510,KIT ENTRETIEN COMPRESSEUR,entree,2025-04,AZB,15/04/2025,,UN,1,UN,1,Q,CHR001E02,,,0,,1,QUA-AZB250403031,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2547975,3000,Commande achat,BC2587678,3000,,31/12/2999,1,0,AZB,UN,Non,1,TND,"2890,8","2890,8","2890,8","2890,8","2890,8","2890,8",Prix ordre,0,,,,WATO,15/04/2025,1457,,,,2026-05-21 21:37:26
39,PRC00002510,KIT ENTRETIEN COMPRESSEUR,sortie,2025-03,AZB,07/03/2025,,UN,-1,UN,-1,A,CHR001E01,,,1,,0,,Sortie diverse,56377,,31/12/2999,31/12/2999,,Sortie diverse,SOM20251044890,32000,,,0,,31/12/2999,-1,0,AZB,UN,Non,1,TND,"-2802,8","-2802,8","-2802,8","-2802,8","2802,8","2802,8",Prix moyen pondéré,0,SDV,,,MOAY,07/03/2025,1352,1511,,,2026-05-21 21:37:26
40,PRC00002510,KIT ENTRETIEN COMPRESSEUR,entree,2025-02,AZB,17/02/2025,,UN,1,UN,1,Q,CHR001E01,,,0,,1,QUA-AZB250203465,Réception fournisseur,,,31/12/2999,31/12/2999,FL610,Réception,RCT2546029,2000,Commande achat,BC2587167,2000,,31/12/2999,1,0,AZB,UN,Non,1,TND,"2802,8","2802,8","2802,8","2802,8","2802,8","2802,8",Prix ordre,0,,,,WATO,17/02/2025,1114,,,,2026-05-21 21:37:26
41,PRC00002645,CONTACTEUR 220V ROOFTOP,entree,2026-04,AZB,14/04/2026,,UN,3,UN,3,Q,CHR001E02,,,0,,3,QUA-AZB260402392,Réception fournisseur,,,31/12/2999,31/12/2999,FL088,Réception,RCT2601165,3000,Commande achat,BC2691607,1000,,31/12/2999,3,0,AZB,UN,Non,1,TND,324,324,324,324,108,108,Prix ordre,0,,,,WATO,15/04/2026,0843,,,,2026-05-21 21:37:26
